Tweets,Sentiment,Sentiment Score
b'RT @TruthSeekerQSD: WeThePeople are now the News! Tune in LIVE to our 24/7 LiveStream -&gt; https://t.co/XQ6JOzZTuu MSM Qanon RealNews Tr\xe2\x80\xa6',Neutral,0
"b""@realDonaldTrump is thinking of what day he'll sign a realDonaldTrump Day. https://t.co/8CaqMaw6CT""",Neutral,0
b'RT @ywb9922: @ realdonaldtrump \xe6\xb3\x9b\xe4\xba\x9a  China Xinhua net and 16 banks to participate in Yunnan Fanya fraud citizens 43 billion yuan. https://t\xe2\x80\xa6',Negative,-1
"b""I want u guys out of my life and networks, i have no room for u losers davidmuir ceciliavega u think I'm playing?\xe2\x80\xa6 https://t.co/Q9CLxFRjlT""",Negative,-1
"b'@nikkihaley If you went into the UN every day with body armor on, that\xe2\x80\x99s no respect. That\xe2\x80\x99s called Hatred. Maybe y\xe2\x80\xa6 https://t.co/jm2ZB9eoJf'",Neutral,0
b'Innocent?Kavanaugh was NEVER proven innocent.realDonaldTrump YOU HAVE 0 RIGHT to speak for\xe2\x80\xa6 https://t.co/Zd2lItDhi2',Positive,1
b'RT @JcKatherine: Thanks to @realdonaldtrump realdonaldtrump &amp; his repub pals...    Trump trillion-dollar-plus deficits are putting America\xe2\x80\xa6',Neutral,0
b'RT @BillAylwardJr: POTUS\nrealDonaldTrump\nMAGA\nWWG1WGA\nQ\nQanon8chan\nWhoisQanon\nQAnon\n8chan\nendthefedreserve\nhttps://t.co/Yt4CrOSr0\xe2\x80\xa6',Neutral,0
b'RT @BillAylwardJr: POTUS\nrealDonaldTrump\nMAGA\nWWG1WGA\nQ\nQanon8chan\nWhoisQanon\nQAnon\n8chan\nendthefedreserve\nhttps://t.co/Yt4CrOSr0\xe2\x80\xa6',Neutral,0
"b'Common reaction to RealDonaldTrump, Kavanaugh, GOPHypocrites and the remainder of their entire cult..... https://t.co/nDf8czNw1n'",Neutral,0
"b'RT @cavanaugh44: Trump, you will be decimated by women of all colors, religions, income levels and sexual persuasions. Why? Because you car\xe2\x80\xa6'",Neutral,0
"b'Yes! It\xe2\x80\x99s about time!, realDonaldTrump VoteRED https://t.co/D1dyP2gg1j'",Neutral,0
b'Nikki broke?? \xf0\x9f\xa4\x94 That\xe2\x80\x99s unheard of in the realDonaldTrump administration. All she had to do was contact\xe2\x80\xa6 https://t.co/n4mxzSfhLC',Neutral,0
"b""RT @davidhorsey: John McCain was unfathomable to realDonaldTrump because Trump can't conceive of sacrificing for anything or anyone nor of\xe2\x80\xa6""",Neutral,0
b'Fax News has sent this out as a new GOP and Presidential logo.  I have concerns but it comes from those fair and ba\xe2\x80\xa6 https://t.co/aDtdV7AoO9',Neutral,0
